TAX,LON,LAT,POP,RESP
Juniperus oxycedrus,-0.929,41.619,NA,NA
Juniperus oxycedrus,-1.4945,41.3778,NA,NA
Juniperus oxycedrus,-1.73,41.66,NA,NA
Juniperus oxycedrus,-1.73,41.65,NA,NA
Juniperus oxycedrus,-1.64,41.66,NA,NA
Juniperus oxycedrus,-1.82,41.87,NA,NA
Juniperus oxycedrus,-1.57,41.74,NA,NA
Juniperus oxycedrus,-1.68,41.73,NA,NA
Juniperus badia,-3.16987,40.98936,ARBGU,R-
Juniperus badia,-4.43504,40.24535,CENMA,R-
Juniperus badia,-5.48048,39.61577,ROBCC,R-
Juniperus badia,-6.22775,40.38977,NUNCC,R-
Juniperus badia,-6.3658,41.37848,VILZA,R-
Juniperus badia,-5.51278,42.65648,VILLE,R-
Juniperus badia,-7.67491,39.64096,PORNI,R-
Juniperus badia,-5.40437,38.68535,BENBA,R-
Juniperus badia,-3.83286,38.65738,CALCR,R-
Juniperus oxycedrus,-1.64935,41.66651,TRAZA,R+
Juniperus oxycedrus,-1.0058,42.16495,LUNZA,R+
Juniperus oxycedrus,0.39042,41.39422,GRALL,R+
Juniperus oxycedrus,0.71105,41.01725,TIVTA,R+
Juniperus oxycedrus,-0.5455,40.02649,MONCS,R+
Juniperus oxycedrus,-0.56432,39.41989,TORVA,R+
Juniperus oxycedrus,-1.47344,39.03498,POZAL,R+
Juniperus oxycedrus,-1.74328,38.41863,HELAL,R+
Juniperus oxycedrus,-2.82256,38.07534,SANJA,R+
Juniperus oxycedrus,-3.97476,36.84087,CANMA,R+
Juniperus oxycedrus,-5.20546,36.48303,ESTMA,R+
Juniperus oxycedrus,-2.04812,39.69323,BARCU,R+
Juniperus oxycedrus,-2.34722,42.56463,ARANA,R+
